time,context,like_count,comments_count,hashtags
2019-04-17 18:02:26,"Latest article on This Week in POC Culture is up! Featuring #FastColor #Shuri #Homecoming & #startrekdiscovery! Link in the bio! What are you looking forward to this week?
•
•
#representationmatters #diversity #startrek #beyonce #blackpanther #marvel #marvelcomics @startrek",10,0,"['fastcolor', 'shuri', 'homecoming', 'startrekdiscovery', 'representationmatters', 'diversity', 'startrek', 'beyonce', 'blackpanther', 'marvel', 'marvelcomics']"
2019-04-17 17:00:34,Now showing #newmovies  #little #kalank #petsematary #fastcolor #bollywood #hollywood  #trinidadandtobago,26,2,"['newmovies', 'little', 'kalank', 'petsematary', 'fastcolor', 'bollywood', 'hollywood', 'trinidadandtobago']"
2019-04-17 23:18:27,"""Prey have their eyes on the sides of their head, in order to prevent predators from approaching them-eventually failing. 🐢"" ---------------------------------- #art #artist #bunny #watercolor #redhair #portrait #prey #animal #animals #eyes #cute #beautiful #colorful #person #girl #cute #cuteart #watercolorart #watercolour #bunnys #follow #tired #bell #collar #stuck #leave #predator",3,0,"['art', 'artist', 'bunny', 'watercolor', 'redhair', 'portrait', 'prey', 'animal', 'animals', 'eyes', 'cute', 'beautiful', 'colorful', 'person', 'girl', 'cute', 'cuteart', 'watercolorart', 'watercolour', 'bunnys', 'follow', 'tired', 'bell', 'collar', 'stuck', 'leave', 'predator']"
2019-04-17 23:17:14,"She’s just a good girl with a dirty side 🤞🏼#wcw#olegirl#dirty
•
•
•
#gmc#gmcsierra#4x4
#sierra#lifted#leveled#stanced#kmc#lfl#f4f#comment#like#likeitup#x#stuck#oops#jk#shedontgetstuck#kmc#federals#35s#20x10#duramax#ford#chevy#cummins",18,5,"['wcw', 'olegirl', 'dirty', 'gmc', 'gmcsierra', '4x4', 'sierra', 'lifted', 'leveled', 'stanced', 'kmc', 'lfl', 'f4f', 'comment', 'like', 'likeitup', 'x', 'stuck', 'oops', 'jk', 'shedontgetstuck', 'kmc', 'federals', '35s', '20x10', 'duramax', 'ford', 'chevy', 'cummins']"
2019-04-17 23:11:57,"I want to help you help yourself! Are you #stuck in a dead end #career and you’re #unsure of your next move? Let me help you #plan you #exitstrategy, the #FirstStep is hard, but we make it #easy! Call today 941-479-0029",0,0,"['stuck', 'career', 'unsure', 'plan', 'exitstrategy', 'firststep', 'easy']"
2019-04-17 23:11:27,"And I can't get out of it.
.
.
.
.
.
#WritersOfInstagram #Writing #WritersOfIG #WritingCommunity #PoetsOfInstagram #PoetryOfInstagram #PoemsOfInstagram #Poetry #Poems #PoetryCommunity #PoetsOfIG #PoetryAddict #PoetryOfTheDay #MyPoems #PoetryPorn #InstaPoet #InstaPoem #Quotes #InsideThoughts #OCD #SpinningThoughts #Radio #Stuck #Love #LovePoems #SadPoems #InspirationalPoems #ShortPoems #OneLiners",9,3,"['writersofinstagram', 'writing', 'writersofig', 'writingcommunity', 'poetsofinstagram', 'poetryofinstagram', 'poemsofinstagram', 'poetry', 'poems', 'poetrycommunity', 'poetsofig', 'poetryaddict', 'poetryoftheday', 'mypoems', 'poetryporn', 'instapoet', 'instapoem', 'quotes', 'insidethoughts', 'ocd', 'spinningthoughts', 'radio', 'stuck', 'love', 'lovepoems', 'sadpoems', 'inspirationalpoems', 'shortpoems', 'oneliners']"
2019-04-17 23:07:07,#him #he #missyou #miss #heartbreak #gone #depression #person #poetry #poetsociety #reminders #remind #boys #boy #teen #breakup #betrayal #notoveryet #stillmissyou #poetsocietyofinstagram #poet #poetcommunityofinstagram #alone #getoverhim #stuck #stuckonyou #sad #heartbreak #leave,3,0,"['him', 'he', 'missyou', 'miss', 'heartbreak', 'gone', 'depression', 'person', 'poetry', 'poetsociety', 'reminders', 'remind', 'boys', 'boy', 'teen', 'breakup', 'betrayal', 'notoveryet', 'stillmissyou', 'poetsocietyofinstagram', 'poet', 'poetcommunityofinstagram', 'alone', 'getoverhim', 'stuck', 'stuckonyou', 'sad', 'heartbreak', 'leave']"
2019-04-17 23:19:21,"El suabisante de mi vida.
.
.
.
.
#teamo #instalike #like #amor #siguemeytesigo #cine #shazam #peli #mgxmg",1,0,"['teamo', 'instalike', 'like', 'amor', 'siguemeytesigo', 'cine', 'shazam', 'peli', 'mgxmg']"
2019-04-17 23:18:56,#shazam was a fantastic watch!  Really enjoyed the clever writing that doesn’t undermine an audiences knowledge of devices and tropes! Did this piece for SDCC and has more relevance today then when it was done a couple years back! GO SEE #captainmarvel ERRRRE #shazam,0,0,"['shazam', 'captainmarvel', 'shazam']"
2019-04-17 23:18:21,"Baby asher comiendo premio para perro por 5 dólares, jajajajajaja lo amo mucho🤣🤣💓
.
.
.
.
.
#asherangel #asher #andimack #mexico #song #spotify #reto  #asherdovangel #dc #dccomics #music #onethoughtaway #retos  #shazamedit #shazam #cuteboy #ashannie #annieleblanc #loveit #ashannieedits #laughter #fan #instagram #fans #jackandasher",2,1,"['asherangel', 'asher', 'andimack', 'mexico', 'song', 'spotify', 'reto', 'asherdovangel', 'dc', 'dccomics', 'music', 'onethoughtaway', 'retos', 'shazamedit', 'shazam', 'cuteboy', 'ashannie', 'annieleblanc', 'loveit', 'ashannieedits', 'laughter', 'fan', 'instagram', 'fans', 'jackandasher']"
2019-04-17 23:17:51,"First look at #TheBoy #amazonprime original 
#amazon
#swampthing
#DCExtendedUniverse #dconline #dcuniverse #DoomPatrol
#titans 
#TheBatman
#teentitans #WW84 #aquaman #cosplay #shazam #thanos #harleyquinn #joker #jaredleto #dc #ReleaseTheSnyderCut  #zacksnyder",2,0,"['theboy', 'amazonprime', 'amazon', 'swampthing', 'dcextendeduniverse', 'dconline', 'dcuniverse', 'doompatrol', 'titans', 'thebatman', 'teentitans', 'ww84', 'aquaman', 'cosplay', 'shazam', 'thanos', 'harleyquinn', 'joker', 'jaredleto', 'dc', 'releasethesnydercut', 'zacksnyder']"
2019-04-17 23:17:36,"‪At long last we have not one but THREE #movie reviews on the #podcast today, as I am joined by @ThyKingdomKam to discuss #CaptainMarvel, #UsMovie, and #Shazam. #Marvel #DC and #horror all come together in this episode, link in bio or your fav #podcasting platform.
.
.
#podernfamily ‬#avengers #justiceleague #mcu #dceu #marvelcomics #dccomics #love #video #gif #audio #geek #nerd",1,0,"['movie', 'podcast', 'captainmarvel', 'usmovie', 'shazam', 'marvel', 'dc', 'horror', 'podcasting', 'podernfamily', 'avengers', 'justiceleague', 'mcu', 'dceu', 'marvelcomics', 'dccomics', 'love', 'video', 'gif', 'audio', 'geek', 'nerd']"
2019-04-17 23:19:12,"Hoy en Reseñas de #Turismo, también les traemos la película del momento: #Dumbo .

Este remake hecho de la mano del increíble #TimBurton y con un guion escrito por Ehren Kruger, está basada en el relato homónimo escrito por Helen Aberson y Harold Pearl, y es en gran parte una adaptación de la película animada de 1941 de #WaltDisney. Está protagonizada por Colin Farrell, Eva Green, Michael Keaton, Danny DeVito y Alan Arkin y se estrenó el 29 de marzo de este año por Walt Disney Studios Motion Pictures. .

La pelicula cuenta como Dumbo, un pequeño elefante nacido en el circo de Max Medici, con enormes orejas, se convierte rápidamente en el hazmerreír de todos, excepto de dos niños, los hijos de Holt Farrier; una ex estrella de circo que acaba de regresar de la guerra y que debe hacer frente a los cambios de su vida. Pero la vida de Dumbo cambia cuando descubre que gracias a sus grandes orejas puede volar. .

Me fui en lágrimas viendo esta película y no miento. Cuando vi el tráiler ya lo tenía asumido. Es asombroso como un animal hecho en CGI puede llegarle tanto al espectador. Y me saco el sombrero por Tim Burton👏 No se usó ningún animal para la película. La historia es muy fuerte, y si bien es catalogada como película infantil, el mensaje que deja sólo los grandes lo podemos percibir. Muestra de forma implícita la explotación y maltrato de los animales, e incluso que tan basura puede ser el ser humano. Sin más que eso, la historia al ser remake está un poco cambiada, pero así como está construido el guion es fenomenal. Es lineal, se entiende, tiene muchas (demasiadas) inflexiones porque hay escenas que son realmente desgarradoras, hay diversión, mucho entretenimiento y un muy buen final.
.

Técnicamente me parece que está bien lograda. La construcción de planos y paisajes en gráfico para algunas escenas es excelente, con una fotografía que parece real. La banda sonora es hermosa, claramente todos terminamos llorando en el cine por eso. Lo que sí, se me pasó bastante rápido la película y lo que mostraron en el tráiler llegó enseguida, algo que siempre suele estar luego de los 30 minutos. 09/10pts vean este remake. Vale la pena. .
#cgi #disney #movie",0,0,"['turismo', 'dumbo', 'timburton', 'waltdisney', 'cgi', 'disney', 'movie']"
2019-04-17 23:19:08,"""Eu queria aqueles elefantes."" 🐘😜🤣 #ribeiraopreto #mestradivertida #funko #funkopop #funkomania #funkocommunity #funkocollector #memes #gameofthrones #guerradostronos #cerseilannister #elephants #elefantes #dumbo #geek #nerd #culturapop #tonoseriaveis",0,0,"['ribeiraopreto', 'mestradivertida', 'funko', 'funkopop', 'funkomania', 'funkocommunity', 'funkocollector', 'memes', 'gameofthrones', 'guerradostronos', 'cerseilannister', 'elephants', 'elefantes', 'dumbo', 'geek', 'nerd', 'culturapop', 'tonoseriaveis']"
2019-04-17 23:17:48,"Dumbo o novo filme da Disney.
...
..
.
#disney
#dumbo
#weimaraner 
#dogsofinstagram",4,0,"['disney', 'dumbo', 'weimaraner', 'dogsofinstagram']"
2019-04-17 23:17:29,"4 years ago, when I thought my ears were gonna make me fly 🐘 #dumbo #bluethedog #staffordshireterrier",1,0,"['dumbo', 'bluethedog', 'staffordshireterrier']"
2019-04-17 23:16:40,#VamosAlCirco #Dumbo #DoblajeMx,0,0,"['vamosalcirco', 'dumbo', 'doblajemx']"
2019-04-17 23:19:36,"New vlog is up !
Link in bio ✨
#youtube #youtuber #smallyoutuber #vlog #vlogger #couplevideos #couplevlog #captainmarvel #moviedate #carridechronicles #carride #daywithmyboyfriend #promoter #subscribe #sub4sub #like #comment #share",0,0,"['youtube', 'youtuber', 'smallyoutuber', 'vlog', 'vlogger', 'couplevideos', 'couplevlog', 'captainmarvel', 'moviedate', 'carridechronicles', 'carride', 'daywithmyboyfriend', 'promoter', 'subscribe', 'sub4sub', 'like', 'comment', 'share']"
2019-04-17 23:19:16,"⭐️🌟⭐️
W A R R I O R.
#captainmarvel #funkopop #marvel #avengers",1,0,"['captainmarvel', 'funkopop', 'marvel', 'avengers']"
2019-04-17 23:19:13,"Part 2
7. Daredevil #25 [2013] 
8. All-New Ultimates #3 [2014]
9. Shadowman #8 [2013]
10. The Punisher War Journal #80 [1995]
11. Sub-Mariner #57 [1973]
12. Captain Marvel #1 [1968]

#marvel #comics #dc #dccomics #valiant #shadowman #issue #read #captainmarvel #60s #70s #marvelnow #ultimates #daredevil #mattmurdock #punisher #warjournal #frankcastle #namor #submariner",0,0,"['25', '3', '8', '80', '57', '1', 'marvel', 'comics', 'dc', 'dccomics', 'valiant', 'shadowman', 'issue', 'read', 'captainmarvel', '60s', '70s', 'marvelnow', 'ultimates', 'daredevil', 'mattmurdock', 'punisher', 'warjournal', 'frankcastle', 'namor', 'submariner']"
2019-04-17 23:18:56,#shazam was a fantastic watch!  Really enjoyed the clever writing that doesn’t undermine an audiences knowledge of devices and tropes! Did this piece for SDCC and has more relevance today then when it was done a couple years back! GO SEE #captainmarvel ERRRRE #shazam,0,0,"['shazam', 'captainmarvel', 'shazam']"
2019-04-17 23:18:54,"The End Game Sound Track |*Wich is your favorite #hero? Comment bellow and listen a fragment of the soundtrack and rise the hype with the animation of Rocket the Racoon. Repost on your profile and support me making mention of my account.👍 *¿Cuál es tu héroe favorito? Coméntanos y escucha un fragmento de la banda sonora y aumenta la fiebre con la animación de Rocket El Mapache. Repostea en tu perfil y dame los créditos mencionando mi cuenta. 👍 
#AvengeTheFallen #Avengers #April26 #EndGame #BlackWidow #IronMan #CaptainAmerica #Hulk #AntMan #StarLord #Thor #IronPatriot #CaptainMarvel #Gamorra #Thor #CountDown #Style #Happy #FollowxFollow #TagsForLikes #FollowMe #Webstagram #InstaFollow #Photo #InstaLove #Design #Cute #SoundTrack #TheAvengers #RocketTheRacoon",0,0,"['hero', 'avengethefallen', 'avengers', 'april26', 'endgame', 'blackwidow', 'ironman', 'captainamerica', 'hulk', 'antman', 'starlord', 'thor', 'ironpatriot', 'captainmarvel', 'gamorra', 'thor', 'countdown', 'style', 'happy', 'followxfollow', 'tagsforlikes', 'followme', 'webstagram', 'instafollow', 'photo', 'instalove', 'design', 'cute', 'soundtrack', 'theavengers', 'rockettheracoon']"
2019-04-17 23:18:03,"Fucken shit yes
Barely made this acc abouta week ago
°•°•°•°•°••°•°•°••••°•••°•°••°•°•°•°•°°••°•°•••
Tagz cuz me want to be FaMoUzE
#awdw #fivefeetapart #sli #ksgshotgun #babe #mylove #meme #mexicanmemes #blackpink #embroidery #hastag Livin life 😎
#strangerthings#onmyblock #anxiety#food#pretty#nolife#stinkyfeet#puppies#asmr#mexican#puroganggang#memes#vines#instagram#explorepage#ducktales",1,0,"['awdw', 'fivefeetapart', 'sli', 'ksgshotgun', 'babe', 'mylove', 'meme', 'mexicanmemes', 'blackpink', 'embroidery', 'hastag', 'strangerthings', 'onmyblock', 'anxiety', 'food', 'pretty', 'nolife', 'stinkyfeet', 'puppies', 'asmr', 'mexican', 'puroganggang', 'memes', 'vines', 'instagram', 'explorepage', 'ducktales']"
2019-04-17 23:11:28,"Poe is out! Down to the last two...it’s gonna be hard...🤔
•
•
•
Rules: 
1. DO NOT COMMENT 
2. Like the comment of who you want out (be sure to check them comments) 💖
•
•
•
#colesprouse #haleylurichardson #bestcouple #fivefeetapart #love #game #eliminationgame #elimination",3,3,"['colesprouse', 'haleylurichardson', 'bestcouple', 'fivefeetapart', 'love', 'game', 'eliminationgame', 'elimination']"
2019-04-17 23:09:46,"Omfg😻😻..he is so precious
•
•
•
ignore tags:🏵
#colesprouse #cole #sprouse #precious #riverdale #jugheadjones #jughead #jones #smile #tumblr #wallpaper #wallpapers #hearts #emoji #blackandwhite #black #whitehair #text #chats #love #fivefeetapart",7,3,"['colesprouse', 'cole', 'sprouse', 'precious', 'riverdale', 'jugheadjones', 'jughead', 'jones', 'smile', 'tumblr', 'wallpaper', 'wallpapers', 'hearts', 'emoji', 'blackandwhite', 'black', 'whitehair', 'text', 'chats', 'love', 'fivefeetapart']"
2019-04-17 23:08:39,"Cuenta de seguridad : @selfcaredaylyy
_
-

#frasessad #frases#wattpad #wattpadespañol#wattpader
#frasessad #frases#wattpad #wattpadespañol#wattpad#frasestumblr#citasdeamor#desmotivaciones#decepción#letrasenverso#desamor#escritosad#olvidar#desilusion#frasesdetodo#frasestriste#extrañandote#escritosdenovios__#llorar#frasesdelalma#escritosdeinstagram#decepción#tumblr#merompisteelcorazon#elcorazon#roto#sad#fivefeetapart#netflixseries",45,0,"['frasessad', 'frases', 'wattpad', 'wattpadespañol', 'wattpader', 'frasessad', 'frases', 'wattpad', 'wattpadespañol', 'wattpad', 'frasestumblr', 'citasdeamor', 'desmotivaciones', 'decepción', 'letrasenverso', 'desamor', 'escritosad', 'olvidar', 'desilusion', 'frasesdetodo', 'frasestriste', 'extrañandote', 'escritosdenovios__', 'llorar', 'frasesdelalma', 'escritosdeinstagram', 'decepción', 'tumblr', 'merompisteelcorazon', 'elcorazon', 'roto', 'sad', 'fivefeetapart', 'netflixseries']"
2019-04-17 23:08:17,".
.
.
.
#memes #meme #dankmemes #dank #lmao #lol #dailymemes  #daily #follow #funnymemes #funny #deadaf #fivefeetapart #vine #subscribetopewdiepie",9,0,"['memes', 'meme', 'dankmemes', 'dank', 'lmao', 'lol', 'dailymemes', 'daily', 'follow', 'funnymemes', 'funny', 'deadaf', 'fivefeetapart', 'vine', 'subscribetopewdiepie']"
2019-04-17 23:14:50,"Happy birthday to the woman who has inspired me since I was a little girl everything about is so magical I hope today is the best day coz you honestly deserve it -
-
-
-
🎈🌈🐂🎤💫🐶🍬🐋🍫👿👻💙🍩😀👀💜❤️🇦🇺💌🌸🐜🎃🦄💦💗🍪🕷
-
-
-
-
#jennifergarner #13goingon30 #miraclesfromheaven #theoddlifeoftimothygreen #peppermint #mrfuzzypants #lovesimon #alexanderandtheterriblehorriblenogoodverybadday #valentinesday #catchandrelease #ghostsofagirlfriendspast #wonderpark #movies #movieedits #dvdcollection #moviescenes #watchingmovies #tumblr #aesthetic #disney #disneymovies #disneyedits #romcoms #00smovies #comedymovies #romancemovies #followforfollowback",4,0,"['jennifergarner', '13goingon30', 'miraclesfromheaven', 'theoddlifeoftimothygreen', 'peppermint', 'mrfuzzypants', 'lovesimon', 'alexanderandtheterriblehorribl', 'valentinesday', 'catchandrelease', 'ghostsofagirlfriendspast', 'wonderpark', 'movies', 'movieedits', 'dvdcollection', 'moviescenes', 'watchingmovies', 'tumblr', 'aesthetic', 'disney', 'disneymovies', 'disneyedits', 'romcoms', '00smovies', 'comedymovies', 'romancemovies', 'followforfollowback']"
2019-04-17 23:10:43,"Wonderpark

@shazammovie @wonderparkmovie @littlethemovie",1,1,[]
2019-04-17 23:08:55,New stuff of immigration #wonderpark#brandnew,2,0,"['wonderpark', 'brandnew']"
2019-04-17 23:04:15,"Shazam!

@shazammovie @wonderparkmovie @littlethemovie",3,1,[]
2019-04-17 23:02:57,"HOY . 18 30 HS. HOY 
#parquemagico #wonderpark #wonderparkmovie #cinearenas #sanbernardodeltuyu #partidodelacosta #notepierdaselestreno #juevedecine #jueves #juevesdecine🎬 #juevessanto #semanasantaenlacosta #semanasanta #Venialcine #veniconlafamilia",2,0,"['parquemagico', 'wonderpark', 'wonderparkmovie', 'cinearenas', 'sanbernardodeltuyu', 'partidodelacosta', 'notepierdaselestreno', 'juevedecine', 'jueves', 'juevesdecine', 'juevessanto', 'semanasantaenlacosta', 'semanasanta', 'venialcine', 'veniconlafamilia']"
